Text,X.M.._twitter_id,X.M..language..,Not-related, other flood identification,rain identification,disaster management,flood identification,consequence score,irony(politics,emotional (positive or negative),effects on social life,situation overview,weather warning,flood aid,volunteers,timeperiod,X.M..posted_time..,daynight,timeperiod(hourly)
"- ""Βροχή 2 μηνών σε μία νύχτα"" μας πληροφορεί πρωτοσέλιδο ..   Αν μιλούσαμε για φόρους, θα μπορούσαμε να... https://t.co/B8e9pviFOP ","7,73775605632467E+017",el,,N,Y,N,N,N,N,N,N,N,N,N,N,36,08/09/2016 06:50:55,night,31
-Τέσσερις νεκροί και μία αγνοούμενη ο τραγικός απολογισμόςΣε κατάσταση έκτακτης ανάγκης οι πληγείσες περιοχέςhttps://t.co/Y6kBLiYzLz ,7.73571610578125E+017,el,,N,N,N,N,5,N,N,N,Y,N,N,N,18,07/09/2016 17:20:18,day,18
…έρημος σαν τη βροχήδιαβαίνω αγιάτρευτος μέσα στο όνειρό μουέχοντας το σακούλι του αναστεναγμούκι όλο πηγαίνω... https://t.co/ClL8ckKlSu ,7.73595783241269E+017,el,,N,Y,N,N,N,N,N,N,N,N,N,N,18,07/09/2016 18:56:22,day,19
' #Kalamata Airport in #Greece Closes due to #badweather https://t.co/siR9JBVjeY #travel #ttot https://t.co/nVAirewSnO ,7.73585932570198E+017,en,,N,N,Y,N,3,N,N,Y,Y,N,N,N,18,07/09/2016 18:17:13,day,19
'total destruction': Four people killed #GreekFloods https://t.co/OFJ3Bc0Wwj via @MailOnline #Kalamata #Messinia #Sparta #Lakonia #Greece ,"7,7390743619761E+017",en,,N,N,N,N,N,N,N,N,N,N,N,N,48,08/09/2016 15:34:45,day,40
"""@GreekReporter: Three Dead After Flood in Kalamata, One Missing in Thessaloniki https://t.co/fuf0qZRxz1 #Greece"" VERY bad! #greece ",7.73462798114357E+017,en,,Y,N,N,N,5,N,N,N,Y,N,N,N,12,07/09/2016 10:07:55,day,11
"""Βιβλικές"" καταστροφές στην Καλαμάτας - Λάσπη και πλημμύρες παντού - Δεκάδες πλημμυρισμένα σπίτια - Πληροφορίες... https://t.co/N1iUDa1WFT ",7.73386763012375E+017,el,,N,N,Y,Y,4,N,N,Y,Y,N,N,N,6,07/09/2016 05:05:47,night,6
"""Βούλιαξε"" η δυτική Ελλάδα: Πλημμύρες, πτώσεις δέντρων και ποτάμια στους δρόμους https://t.co/fLwZHOIyJv ",7.73392144547586E+017,el,,N,N,N,Y,3,N,N,N,Y,N,N,N,6,07/09/2016 05:27:10,night,6
"""Καλαμάτα: Για «πραγματική τραγωδία» έκανε λόγο ο Αντ. Σαμαράς"" Πόσα χρόνια ακόμα ραγιάδες μωρέ; Βρωμιάρηδες! ",7.73769966445335E+017,el,,N,N,Y,Y,N,N,Neg,N,Y,N,N,N,36,08/09/2016 06:28:30,night,31
"""Ο Σαμαρας"" παει Καλαματα για να πει στον δημαρχο να διαγραψει τους νεκρους, οπως εκανε με το ηχητικο στα παραπολιτικα ",7.73525695775531E+017,el,,N,N,N,N,5,Y,N,N,Y,N,N,N,18,07/09/2016 14:17:51,day,15
"""Total destruction"" 4 people killed in floods. Rain batters #Greece #Kalamata and #Stoupa https://t.co/LOz5rZH12y ⛈ https://t.co/DQTwYxYkDP ",7.73584420179743E+017,en,,N,Y,N,Y,5,N,N,N,Y,N,N,N,18,07/09/2016 18:11:12,day,19
“Βιβλικές” καταστροφές στην Καλαμάτα – Λάσπη και πλημμύρες παντού – Δεκάδες πλημμυρισμένα… https://t.co/cm64TLJTUx https://t.co/bMWmctMwYQ ,7.73506051656122E+017,el,,N,N,N,Y,4,N,N,N,Y,N,N,N,12,07/09/2016 12:59:48,day,13
“Βούλιαξε” η μισή Ελλάδα στην πρώτη καταιγίδα-Τρεις νεκροί https://t.co/7PguRfNcEL https://t.co/dYsL5LPcsO ,7.73480509812859E+017,el,,N,Y,N,Y,5,N,N,N,Y,N,N,N,12,07/09/2016 11:18:18,day,12
"«Βούλιαξε» η δυτική Ελλάδα!!! Πλημμύρες, πτώσεις δέντρων και δρόμοι… !!! [ΒΙΝΤΕΟ] https://t.co/0yjvyaxk62βούλιαξε-η-δυτική-ελλάδα-πλημμύρες/ ",7.73523977704702E+017,el,,Y,N,N,Y,3,N,N,N,Y,N,N,N,18,07/09/2016 14:11:02,day,15
"«Βούλιαξε» η δυτική Ελλάδα!!! Πλημμύρες, πτώσεις δέντρων και δρόμοι… ποτάμια… https://t.co/QKFlm5ZoYT ",7.7352413627863E+017,el,,Y,N,N,Y,3,N,N,N,Y,N,N,N,18,07/09/2016 14:11:40,day,15
«Βούλιαξε» η Ελλάδα: 3 νεκροί και ζημιές χιλιάδων ευρώ από την κακοκαιρία (pics  https://t.co/iJXVC3SZbp ,7.73489525372948E+017,el,,Y,N,N,N,5,N,N,N,Y,N,N,N,12,07/09/2016 11:54:08,day,12
«Βούλιαξε» η μισή Ελλάδα στην πρώτη καταιγίδα-Τρεις νεκροί https://t.co/HozRiJc6X4 ,7.73480464371769E+017,el,,Y,Y,N,N,5,N,N,N,Y,N,N,N,12,07/09/2016 11:18:07,day,12
«Βούλιαξε» η μισή Ελλάδα στην πρώτη καταιγίδα-Τρεις νεκροί https://t.co/IcmxiDwwc3 ,7.73480476250034E+017,el,,Y,Y,N,N,5,N,N,N,Y,N,N,N,12,07/09/2016 11:18:10,day,12
«Βούλιαξε» η μισή Ελλάδα: Μία γυναίκα νεκρή από τις βροχοπτώσεις στην Καλαμάτα https://t.co/NnfXYNzTdk ,7.73409078395728E+017,el,,Y,Y,N,N,5,N,N,N,Y,N,N,N,6,07/09/2016 06:34:28,night,7
«Βούλιαξε» η μισή χώρα - Εκατοντάδες κλήσεις για πλημμυρισμένα σπίτια: Σημαντικές ζημιές… https://t.co/3kOaFvSYtt ,7.73456486328599E+017,el,,Y,N,N,N,4,N,N,N,Y,N,N,N,12,07/09/2016 09:42:51,day,10
«Βούλιαξε» η μισή χώρα- Μία γυναίκα νεκρή από τις βροχοπτώσεις στην Καλαμάτα https://t.co/Gc8st12qQQ μέσω του χρήστη @pixlaxnews ,7.73419693260542E+017,el,,Y,Y,N,N,5,N,N,N,Y,N,N,N,8,07/09/2016 07:16:38,day,8
"«Βούλιαξε» η χώρα από τη θεομηνία – Τέσσερις νεκροί, μια αγνοούμενη – Ζημιές σήμερα σε Ηλεία και Ζάκυνθο https://t.co/iL70kKtTuk ","7,73918473789538E+017",el,,Y,Y,N,N,5,N,N,N,Y,N,N,N,48,08/09/2016 16:18:37,day,41
"«Βούλιαξε» η χώρα από τη θεομηνία – Τέσσερις νεκροί, μια αγνοούμενη – Ζημιές σήμερα σε Ηλεία και Ζάκυνθο https://t.co/PApxOtWmMx ","7,73918473789505E+017",el,,Y,Y,N,N,5,N,N,N,Y,N,N,N,48,08/09/2016 16:18:37,day,41
«Βροχή» προβλημάτων από την επέλαση της κακοκαιρίας! https://t.co/SI3zNdgkSN ,7.73400636901712E+017,el,,Y,N,N,N,3,N,N,N,Y,N,N,N,6,07/09/2016 06:00:55,night,6
«Βροχή» προβλημάτων από την επέλαση της κακοκαιρίας! https://t.co/ZBBXF2Yc8J ,7.73400575488688E+017,el,,Y,N,N,N,3,N,N,N,Y,N,N,N,6,07/09/2016 06:00:40,night,6
«Βροχή» τα προβλήματα στη Θεσσαλονίκη - Εκατοντάδες κλήσεις για πλημμύρες - https://t.co/2bJzrveNBq https://t.co/gIV8vYBlWL ,7.73425101387731E+017,el,,N,N,Y,Y,3,N,N,N,Y,N,N,N,8,07/09/2016 07:38:08,day,8
«Βροχή» τα προβλήματα στη Θεσσαλονίκη - Εκατοντάδες κλήσεις για πλημμύρες https://t.co/dNHYxj7TZg ,7.73401227635941E+017,el,,N,N,Y,Y,3,N,N,N,Y,N,N,N,6,07/09/2016 06:03:16,night,7
"«Για τις καταστροφές στην Καλαμάτα φταίει η κλιματική αλλαγή...»Γιατί ως γνωστόν, έχουν αρχίσει να λιώνουν οι πάγοι στην Καλαμάτα... ","7,73910182988505E+017",el,,N,N,N,N,4,N,N,N,Y,N,N,N,48,08/09/2016 15:45:40,day,40
«Κινητοποίηση για αποκατάσταση» ζήτησε ο Σαμαράς από την Καλαμάτα https://t.co/Nb9M4kiozG ,7.73769165173821E+017,el,,N,N,Y,N,N,N,N,N,N,N,N,N,36,08/09/2016 06:25:19,night,31
«Κινητοποίηση για αποκατάσταση» ζήτησε ο Σαμαράς από την Καλαμάτα https://t.co/qhv7ntpXrg https://t.co/u9DFujecdc ,"7,73776654308999E+017",el,,N,N,Y,N,N,N,N,N,N,N,N,N,36,08/09/2016 06:55:05,night,31
«Κινητοποίηση για αποκατάσταση» ζήτησε ο Σαμαράς από την Καλαμάτα: Να κινητοποιήσει γρήγορα… https://t.co/H4KEEtj5Yx ,7.73769048932901E+017,el,,N,N,Y,N,N,N,N,N,N,N,N,N,36,08/09/2016 06:24:51,night,31
«Νίπτει τας χείρας της» η Περιφέρεια για τις πλημμύρες στο Κουτσουβέρι! [εικόνες – βίντεο] https://t.co/7lOEOWJgZL https://t.co/kf21dtMAiw ,"7,73923111116735E+017",el,,N,N,Y,Y,N,N,N,N,Y,N,N,N,48,08/09/2016 16:37:03,day,41
«Πνίγηκε» η μισή Ελλάδα από την καταρρακτώδη βροχή:           ... https://t.co/yRLN4yY7dH ,7.73409718689796E+017,el,,N,Y,N,Y,N,N,N,N,Y,N,N,N,6,07/09/2016 06:37:00,night,7
«ΠΝΙΓΗΚΕ» Η ΜΙΣΗ ΕΛΛΑΔΑ! Πλημμύρες και ανεμοστρόβιλοι-Τεράστιες καταστροφές σε Θεσσαλονίκη - ΕΛΛΑΔΑ https://t.co/orYLrWxRfc ,7.73489717027467E+017,el,,N,N,N,Y,4,N,N,N,Y,N,N,N,12,07/09/2016 11:54:53,day,12
